France,SPAL 2013,Leverkusen,1997,David James,48
France,Tottenham Hotspur,Tambov,1997,Adam Williams,84
Italy,Sevilla FC,Gelsenkirchen,1998,Joseph Perez,74
France,Real Madrid CF,Lorient,1999,George Wilson,57
Italy,SC Freiburg,Augsburg,2017,Joseph Perez,5
Spain,Aston Villa,Benevento,2006,William Robinson,3
Italy,Manchester United,Manchester,2000,Kevin Campbell,99
France,FC Orenburg,Benevento,2021,Thomas Brown,53
Germany,Athletic Bilbao,Cologne,1990,Matthew Nelson,88
England,Bayer 04 Leverkusen,Rostov,1990,Brian Walker,5
Russia,Cagliari Calcio,Orenburg,2006,John Lewis,77
England,Real Madrid CF,Manchester,2008,Edward Phillips,70
England,Olympique Lyon,Dortmund,2012,William Robinson,80
Spain,Manchester United,Freiburg,1990,Christopher Taylor,85
Spain,Stade Brestois,Sassuolo,2000,Joseph Perez,76
England,Arsenal FC,Birmingham,2013,Thomas Brown,15
Spain,FC Moscow,San Sebastian,2000,Matthew Nelson,62
England,FC Lorient,Yekaterinburg,2001,Christopher Taylor,12
England,Getafe CF,Ferrara,2018,Jeffrey Adams,9
Germany,Stade de Reims,Rostov,1997,Matthew Nelson,69
Russia,1. FC K�ln,Paris,1991,Carl Taylor,43
Russia,Bayer 04 Leverkusen,Cagliari,1996,Brian Walker,88
Spain,Real Sociedad,Sheffield,2005,Kevin Campbell,25
France,Bayer 04 Leverkusen,Turin,2013,Matthew Baker,99
Spain,Chelsea FC,Munich,2008,Richard White,62
Germany,FSV Mainz 05,Sochi,2011,William Moore,90
England,US Sassuolo,Moscow,2002,Steven Taylor,11
Italy,Getafe CF,Getafe,2008,William Moore,47
France,FC Metz,Moscow,2003,Michael Thompson,80
England,1. FC K�ln,Benevento,2001,Mark Anderson,24
Italy,1. FC K�ln,Ufa,2021,Brian Walker,18
France,Barcelona FC,Freiburg,2000,David James,30
England,FC Schalke 04,Moscow,1999,Norman White,15
Spain,FC Schalke 04,Yekaterinburg,2013,Kevin Campbell,30
France,Stade Rennais,Paris,2021,William Robinson,49
Italy,VfL Wolfsburg,Brest,1999,Joseph Evans,65
Germany,SC Freiburg,Madrid,2001,David King,83
Russia,Valencia CF,Augsburg,2002,William Moore,59
Russia,SPAL 2013,Wolfsburg,2006,David King,42
Germany,FC Augsburg,Krasnodar,1990,Matthew Baker,64
Spain,SS Lazio,Metz,2020,George Wilson,39
France,FC Schalke 04,Palma de Mallorca,2008,Joshua Miller,47
France,FC Rostov,Turin,2016,Richard Walker,72
Spain,US Sassuolo,Vigo,1993,Andrew Clark,38
England,Manchester City,Liverpool,2007,Joshua Miller,45
France,Valencia CF,Birmingham,1997,Joseph Perez,70
England,FC St. Petersburg,Barcelona,2017,Christopher Taylor,45
Germany,Chelsea FC,Madrid,2022,Timothy Harris,50
Italy,West Ham United,Rostov,2020,William Robinson,55
Italy,AS Roma,Rostov,2001,James Johnson,45
Spain,AC Milan,Liverpool,2000,James Johnson,79
France,Benevento Calcio,Valencia,2003,David King,3
England,FC Bayern Munich,Benevento,2013,Joshua Miller,58
Germany,FC Bayern Munich,Hoffenheim,2014,Brian Miller,52
Spain,FC Schalke 04,Moscow,1997,John Lewis,91
Germany,FC Metz,Rostov,2000,Kenneth Hall,88
England,Manchester United,Marseille,2012,Joshua Miller,41
England,FC Schalke 04,Lorient,1993,Michael Thompson,14
Germany,AC Milan,Barcelona,2008,Brian Miller,50
England,Benevento Calcio,Leverkusen,2020,Norman White,72
Spain,FC Schalke 04,Yekaterinburg,2007,William Robinson,66
Spain,Stade de Reims,Seville,2020,Thomas Edwards,72
England,RC Celta de Vigo,Gelsenkirchen,2016,Carl Taylor,88
Russia,Sevilla FC,Metz,2004,William Moore,81
Russia,Borussia Dortmund,Orenburg,1997,Timothy Harris,81
England,Olympique Marseille,Seville,2017,John Smith,18
Germany,Real Sociedad,Sassuolo,2002,William Robinson,16
Italy,FSV Mainz 05,London,2009,Nicholas Moore,1
Russia,Barcelona FC,Gelsenkirchen,2018,Carl Taylor,72
Italy,Benevento Calcio,Metz,1996,Andrew Clark,70
England,Stade Rennais,Paris,2001,Carl Taylor,57
Germany,Benevento Calcio,Getafe,2018,Jeffrey Adams,64
Spain,FC Augsburg,Manchester,1993,Thomas Edwards,57
Russia,Stade de Reims,Tambov,2019,Christopher Taylor,10
Germany,RCD Mallorca,Getafe,1993,Kevin Campbell,63
Italy,US Sassuolo,St. Petersburg,2001,David James,45
Italy,Stade Brestois,Augsburg,2001,Thomas Brown,32
England,Bayer 04 Leverkusen,Turin,2015,William Moore,40
Russia,Real Madrid CF,Madrid,1996,Adam Williams,5
Spain,Stade de Reims,Birmingham,2011,Matthew Nelson,33
Spain,FC Sochi,Sassuolo,1999,Joseph Evans,7
England,FC Ufa,San Sebastian,2006,Nicholas Moore,82
Italy,Olympique Marseille,Sassuolo,2019,Brian Walker,67
England,Manchester United,Sheffield,2007,Steven Taylor,2
France,FC Augsburg,Barcelona,1999,George Wilson,27
England,Liverpool FC,Munich,2016,James Johnson,36
Spain,RCD Mallorca,Palma de Mallorca,2002,Steven Taylor,86
France,Stade Rennais,Dortmund,2005,Carl Taylor,94
Italy,FC Rostov,Moscow,2006,Joshua Miller,96
Germany,AC Milan,Reims,2015,William Moore,3
Russia,Sevilla FC,Yekaterinburg,2001,Paul Davis,94
Russia,TSG 1899 Hoffenheim,Madrid,2011,Richard Walker,31
Italy,Borussia Dortmund,Augsburg,1999,Joseph Perez,19
Russia,1. FC K�ln,Milan,1994,Joseph Perez,80
England,Chelsea FC,Reims,2017,Andrew Clark,77
Germany,Stade Rennais,Seville,2003,Andrew Clark,34
Italy,West Ham United,London,1996,David King,14
Russia,SC Freiburg,Dortmund,2013,Christopher Taylor,57
France,RC Celta de Vigo,Lorient,2012,Timothy Harris,2
France,FC Metz,Orenburg,1998,Thomas Brown,74
Germany,Stade Brestois,San Sebastian,1997,Timothy Harris,88
Italy,Real Sociedad,Cologne,1991,Edward Phillips,56
Italy,FC Ural,Cologne,2013,Adam Williams,72
France,Chelsea FC,Palma de Mallorca,2016,Michael Thompson,65
England,Manchester United,Augsburg,2020,Joshua Miller,54
France,Inter Milan,London,1993,Edward Phillips,1
France,Manchester City,Mainz,2009,Matthew Nelson,90
France,FC Augsburg,Barcelona,2001,Brian Miller,32
Germany,Stade Rennais,Moscow,2017,Jeffrey Adams,1
Spain,Atletico Madrid,Ferrara,2012,Michael Thompson,74
Spain,Arsenal FC,Birmingham,2006,Steven Taylor,1
Russia,Stade de Reims,Rostov,2020,Joseph Perez,36
Italy,Arsenal FC,Yekaterinburg,2020,Steven Taylor,46
Germany,RCD Mallorca,St. Petersburg,2016,Brian Walker,21
England,Paris Saint Germain,Sheffield,1994,Thomas Brown,40
Russia,Sevilla FC,Lyon,2021,Joseph Perez,55
England,Benevento Calcio,Lyon,2002,Matthew Nelson,18
England,Getafe CF,Freiburg,2002,Albert Gonzalez,61
France,FC Lorient,Marseille,2017,Thomas Brown,43
Italy,Sevilla FC,Gelsenkirchen,1993,Ronald Wilson,40
Italy,Borussia Dortmund,Leverkusen,1992,Joshua Miller,90
Russia,Aston Villa,London,2009,Steven Taylor,97
Spain,FC Augsburg,Leverkusen,2022,Richard Walker,55
Russia,Benevento Calcio,Liverpool,1999,David King,73
Spain,AS Roma,San Sebastian,2019,Richard Walker,88
Germany,Athletic Bilbao,Liverpool,2016,Albert Gonzalez,99
England,Stade Brestois,Paris,2004,John Lewis,67
Spain,FC Bayern Munich,Manchester,1993,Richard Walker,17
Italy,FC Krasnodar,Bilbao,2018,Matthew Baker,42
England,FC Ufa,Seville,1995,Matthew Nelson,94
Italy,Sheffield United,Augsburg,1994,Kevin Campbell,53
Italy,US Sassuolo,Wolfsburg,2014,John Lewis,68
Italy,VfL Wolfsburg,Gelsenkirchen,2018,Norman White,91
Russia,Stade de Reims,Rennes,1996,James Johnson,7
England,Paris Saint Germain,Rennes,1995,Matthew Baker,20
France,Manchester United,Tambov,2013,Matthew Baker,51
England,FC Tambov,Benevento,2009,Kevin Campbell,78
France,FC Tambov,Cologne,1990,Christopher Taylor,97
France,Getafe CF,Munich,1995,William Moore,61
England,FC Bayern Munich,Cagliari,2004,Kevin Campbell,93
Germany,Benevento Calcio,Wolfsburg,2003,Ronald Wilson,44
France,Tottenham Hotspur,Metz,1994,Thomas Brown,50
Germany,FC Orenburg,Rostov,2005,Thomas Brown,73
France,Cagliari Calcio,Freiburg,2010,Paul Davis,6
England,AC Milan,Rostov,2003,George Wilson,59
Russia,Barcelona FC,Rome,1997,Brian Walker,54
Spain,RCD Mallorca,Freiburg,2020,Edward Phillips,67
Germany,Olympique Lyon,Mainz,2012,Joshua Miller,70
Germany,Valencia CF,Munich,2007,Ronald Wilson,18
Germany,TSG 1899 Hoffenheim,Brest,2008,Richard Walker,26
Russia,Bayer 04 Leverkusen,Augsburg,2017,Albert Gonzalez,98
Italy,SPAL 2013,Birmingham,2017,Brian Miller,92
Russia,FC Ufa,Gelsenkirchen,2015,Adam Williams,5
Germany,FSV Mainz 05,Manchester,2002,Andrew Clark,51
England,Chelsea FC,Benevento,1993,Thomas Brown,73
Spain,Athletic Bilbao,Rennes,2005,Matthew Nelson,3
France,Real Sociedad,Sassuolo,2007,Matthew Nelson,18
France,FC Schalke 04,Augsburg,1998,Michael Thompson,88
Italy,VfL Wolfsburg,Palma de Mallorca,2016,Adam Williams,61
Germany,Cagliari Calcio,Lyon,2001,Richard Walker,75
France,SPAL 2013,Yekaterinburg,2008,Kenneth Hall,25
France,VfL Wolfsburg,Brest,2012,George Wilson,26
France,Aston Villa,Madrid,2014,Brian Miller,47
